REGION,PSU,PJ,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
3,70,138,9,2,2,0,0,5,0,0,1,3,8,2,12,2,0,6,0,2,3,0,1,1,1,0,1,0,0,0,0,0,3,8,2,12,6,0,2,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,7,2,2,0,0,3,0,0,1,3,8,48,12,2,0,8,0,1,1,0,1,1,1,0,1,0,0,0,0,0,3,8,48,12,8,0,1,1,1,0,0,2,2,3,16,70,129.8270826
3,70,138,8,2,2,0,0,3,0,1,1,3,16,1,12,2,1,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,3,16,1,12,6,0,2,1,1,1,1,2,2,3,16,70,130.1761895
3,70,138,10,2,2,0,0,2,0,0,1,3,16,35,12,2,0,1,0,3,3,0,1,1,1,0,1,0,0,28,0,0,3,16,35,12,1,0,3,1,1,0,0,2,2,3,16,70,215.218122
3,70,138,9,2,2,0,0,2,0,0,1,4,8,1,12,2,0,1,0,1,1,0,1,1,1,0,1,0,0,28,0,0,4,8,1,12,1,0,1,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,8,2,2,0,0,4,0,4,1,4,15,34,12,2,2,6,0,2,3,0,1,1,1,0,1,0,0,0,0,0,4,15,34,12,6,0,2,1,1,2,4,2,2,3,16,70,130.1761895
3,70,138,5,1,1,0,0,2,0,1,1,5,1,54,1,2,3,0,0,1,1,0,4,3,1,0,1,0,0,0,0,0,5,1,54,1,0,0,1,3,1,3,1,2,2,3,16,70,29.89522138
3,70,138,5,2,2,0,0,2,0,2,1,5,7,40,12,2,3,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,5,7,40,12,1,0,1,1,1,3,2,2,2,3,16,70,29.89522138
3,70,138,9,2,2,0,0,2,0,0,1,5,11,20,12,2,0,1,0,3,3,0,1,1,1,0,1,0,0,0,0,0,5,11,20,12,1,0,3,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,10,2,2,0,0,2,0,0,1,5,13,23,12,2,0,1,0,20,1,0,1,1,1,0,1,0,0,0,0,0,5,13,23,12,1,0,20,1,1,0,0,2,2,3,16,70,215.218122
3,70,138,6,2,2,0,0,4,0,2,1,5,13,58,12,2,1,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,5,13,58,12,6,0,2,1,1,1,2,2,2,3,16,70,51.57365489
3,70,46,8,1,1,0,0,2,0,2,1,6,13,0,42,2,2,0,0,1,1,0,4,1,4,0,4,0,0,0,0,0,6,13,0,42,0,0,1,1,4,2,2,2,2,3,16,70,130.1761895
3,70,46,7,2,2,0,0,3,0,0,1,2,11,5,12,2,0,1,0,3,2,0,1,1,1,0,1,0,0,0,0,0,2,11,5,12,1,0,3,1,1,0,0,2,2,3,16,70,129.8270826
3,70,46,9,1,1,0,0,1,0,0,1,4,15,10,59,2,0,0,0,3,3,0,4,1,10,0,10,0,0,0,0,0,4,15,10,59,0,0,3,1,10,0,0,2,2,3,16,70,146.5241049
3,70,46,10,2,2,0,0,3,0,0,1,3,5,50,12,2,0,6,0,2,3,0,1,2,1,0,1,0,0,0,0,0,3,5,50,12,6,0,2,2,1,0,0,2,2,3,16,70,215.218122
3,70,46,6,1,1,0,0,1,0,1,1,5,18,45,30,2,2,0,0,1,1,0,4,2,2,0,2,0,0,0,0,0,5,18,45,30,0,0,1,2,2,2,1,2,2,3,16,70,51.57365489
3,70,47,10,1,1,0,0,1,0,0,1,5,20,15,38,2,0,0,0,1,1,0,4,2,2,0,2,0,0,0,0,0,5,20,15,38,0,0,1,2,2,0,0,2,2,3,16,70,215.218122
3,70,46,6,2,2,0,0,2,0,1,1,4,5,50,12,2,2,7,0,1,1,0,1,2,1,0,1,0,1,0,0,0,4,5,50,12,7,0,1,2,1,2,1,2,2,3,16,70,51.57365489
3,70,46,8,2,2,0,0,3,0,2,1,4,16,0,12,2,2,2,0,1,1,0,1,1,10,0,10,0,0,0,0,0,4,16,0,12,2,0,1,1,10,2,2,2,2,3,16,70,130.1761895
3,70,137,6,2,2,0,0,2,0,1,1,1,18,19,12,2,2,6,0,2,2,0,1,2,1,0,1,0,0,0,0,0,1,18,19,12,6,0,2,2,1,2,1,2,2,3,16,70,51.57365489
3,70,138,9,2,2,0,0,2,0,0,1,2,13,39,12,2,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,2,13,39,12,1,0,1,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,10,2,2,0,0,2,0,0,1,3,7,25,12,2,0,1,0,3,2,0,1,1,1,0,1,0,0,28,0,0,3,7,25,12,1,0,3,1,1,0,0,2,2,3,16,70,215.218122
3,70,138,9,2,2,0,0,2,0,0,1,3,16,35,12,2,0,1,0,3,2,0,1,1,1,0,1,0,0,0,0,0,3,16,35,12,1,0,3,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,8,3,3,0,0,4,0,4,1,3,16,10,12,2,1,1,0,3,4,0,1,1,10,0,10,0,0,0,0,0,3,16,10,12,1,0,3,1,10,1,4,2,2,3,16,70,130.1761895
3,70,138,10,2,2,0,0,3,0,0,1,3,18,46,12,2,0,1,0,1,1,0,1,3,10,0,10,0,0,19,0,0,3,18,46,12,1,0,1,3,10,0,0,2,2,3,16,70,215.218122
3,70,138,6,2,2,0,0,2,0,1,1,4,9,45,12,2,1,2,0,2,2,0,1,1,2,0,2,0,0,0,0,0,4,9,45,12,2,0,2,1,2,1,1,2,2,3,16,70,51.57365489
