REGION,PSU,PSU_VAR,PSUSTRAT,URBANICITY,STRATUM,PJ,WEIGHT,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERMVIT,MONTH,DAY_WEEK,WKDY_IM,HOUR,HOUR_IM,MINUTE,MINUTENAME,MINUTE_IM,MINUTE_IMNAME,HARM_EV,EVENT1_IM,MAN_COLL,MANCOL_IM,RELJCT1,RELJCT1_IM,RELJCT2,RELJCT2_IM,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,LGTCON_IM,WEATHER,WEATHR_IM,SCH_BUS,INT_HWY,MAX_SEV,MAXSEV_IM,NUM_INJ,NO_INJ_IM,ALCOHOL,ALCHL_IM
3,83,83,13,1,10,4148,198.6423173,0,0,1,1,0,1,1,1,1,19,19,30,30,30,30,59,59,0,0,0,0,3,3,2,4,0,3,3,4,4,0,0,0,0,0,0,2,2
3,63,63,16,2,8,4135,116.4391516,0,0,2,2,0,2,1,2,2,12,12,23,23,23,23,12,12,6,6,0,0,8,8,1,1,0,1,1,1,1,0,0,2,2,1,1,9,2
3,63,63,16,2,9,4135,119.5309825,0,0,2,2,0,3,1,2,2,9,9,29,29,29,29,12,12,7,7,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,9,2
3,59,59,10,1,10,4137,200.1609996,0,0,2,2,0,3,1,3,3,14,14,55,55,55,55,12,12,1,1,0,0,3,3,2,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,28,28,11,1,9,4139,124.7110349,0,0,2,2,0,3,1,2,2,15,15,30,30,30,30,12,12,7,7,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,28,28,11,1,10,4139,197.0013724,0,0,2,2,0,2,1,3,3,17,17,45,45,45,45,12,12,1,1,0,0,3,3,2,1,0,5,5,1,1,0,0,0,0,0,0,2,2
3,12,12,12,1,5,4142,22.86839102,0,0,2,2,0,2,1,4,4,5,5,49,49,49,49,12,12,6,6,0,0,2,2,2,1,0,3,3,1,1,0,0,3,3,1,1,9,2
3,78,78,10,1,6,4146,49.14693235,0,0,2,2,0,2,1,2,2,5,5,38,38,38,38,12,12,6,6,0,0,4,4,1,1,0,4,4,1,1,0,0,1,1,2,2,2,2
3,78,78,10,1,5,4146,22.92063941,0,0,2,2,0,4,1,3,3,16,16,25,25,25,25,12,12,6,6,0,0,2,2,2,1,0,1,1,1,1,0,0,3,3,4,4,2,2
3,78,78,10,1,10,4146,195.8166711,0,0,2,2,0,2,1,3,3,9,9,55,55,55,55,12,12,1,1,0,0,3,3,3,1,0,1,1,1,1,0,0,0,0,0,0,2,2
